Rank,Host,Port,TLS,Transport,Latency Avg,Speed Mbps,Status,Error
1225,188.114.97.6,2087,tls,ws,2.415895462036133,0.0,FAILED,Latency test failed
1226,188.114.99.160,443,tls,xhttp,2.4209022521972656,0.0,FAILED,Latency test failed
1227,172.66.44.54,443,tls,ws,2.421855926513672,0.0,FAILED,Latency test failed
1228,104.18.12.149,2053,tls,ws,2.4225711822509766,0.0,FAILED,Latency test failed
1229,172.67.186.42,443,tls,ws,2.4225711822509766,0.0,FAILED,Latency test failed
1230,45.130.125.194,8443,tls,xhttp,2.4247169494628906,0.0,FAILED,Latency test failed
1231,162.159.233.191,443,tls,ws,2.4254322052001953,0.0,FAILED,Latency test failed
1232,188.114.97.6,443,tls,xhttp,2.429485321044922,0.0,FAILED,Latency test failed
1233,104.19.229.21,443,tls,ws,2.4297237396240234,0.0,FAILED,Latency test failed
1234,172.67.156.27,2053,none,tcp,2.429962158203125,0.0,FAILED,Latency test failed
1235,45.130.125.162,8443,tls,xhttp,2.431631088256836,0.0,FAILED,Latency test failed
1236,104.16.72.251,443,tls,ws,2.433300018310547,0.0,FAILED,Latency test failed
1237,45.130.125.162,8443,tls,xhttp,2.4383068084716797,0.0,FAILED,Latency test failed
1238,89.116.46.8,443,tls,ws,2.4390220642089844,0.0,FAILED,Latency test failed
1239,202.37.33.80,443,tls,ws,2.440214157104492,0.0,FAILED,Latency test failed
1240,104.19.140.106,443,tls,ws,2.4421215057373047,0.0,FAILED,Latency test failed
1241,104.18.43.112,443,tls,xhttp,2.4466514587402344,0.0,FAILED,Latency test failed
1242,69.84.182.20,443,tls,ws,2.450227737426758,0.0,FAILED,Latency test failed
1243,104.18.5.250,443,none,tcp,2.450704574584961,0.0,FAILED,Latency test failed
1244,104.27.66.214,443,tls,ws,2.4564266204833984,0.0,FAILED,Latency test failed
1245,172.67.183.103,2082,none,ws,2.4566650390625,0.0,FAILED,Latency test failed
1246,188.114.97.6,443,tls,ws,2.4585723876953125,0.0,FAILED,Latency test failed
1247,45.81.58.159,443,tls,xhttp,2.4602413177490234,0.0,FAILED,Latency test failed
1248,194.76.18.25,443,tls,ws,2.4611949920654297,0.0,FAILED,Latency test failed
1249,172.64.152.23,2087,tls,ws,2.462148666381836,0.0,FAILED,Latency test failed
1250,104.16.121.147,2096,tls,ws,2.4628639221191406,0.0,FAILED,Latency test failed
1251,45.130.125.194,8443,tls,xhttp,2.4652481079101562,0.0,FAILED,Latency test failed
1252,188.114.97.6,443,tls,ws,2.4671554565429688,0.0,FAILED,Latency test failed
1253,45.130.125.162,8443,tls,xhttp,2.470254898071289,0.0,FAILED,Latency test failed
1254,172.67.133.175,80,none,ws,2.473115921020508,0.0,FAILED,Latency test failed
1255,104.16.163.32,443,tls,ws,2.4743080139160156,0.0,FAILED,Latency test failed
1256,8.6.112.6,443,tls,xhttp,2.4759769439697266,0.0,FAILED,Latency test failed
1257,45.130.125.194,8443,tls,xhttp,2.476215362548828,0.0,FAILED,Latency test failed
1258,104.21.16.211,80,none,ws,2.478361129760742,0.0,FAILED,Latency test failed
1259,104.20.6.134,443,tls,ws,2.4802684783935547,0.0,FAILED,Latency test failed
1260,104.16.7.70,2096,tls,ws,2.481698989868164,0.0,FAILED,Latency test failed
1261,45.130.125.194,8443,tls,xhttp,2.4843215942382812,0.0,FAILED,Latency test failed
1262,104.18.151.31,2096,tls,xhttp,2.484560012817383,0.0,FAILED,Latency test failed
1263,45.130.125.158,443,tls,xhttp,2.4847984313964844,0.0,FAILED,Latency test failed
1264,104.24.45.247,80,none,ws,2.4857521057128906,0.0,FAILED,Latency test failed
1265,188.114.98.224,2095,none,tcp,2.486705780029297,0.0,FAILED,Latency test failed
1266,104.254.140.30,8880,none,ws,2.4869441986083984,0.0,FAILED,Latency test failed
1267,188.114.97.6,443,tls,ws,2.4886131286621094,0.0,FAILED,Latency test failed
1268,45.130.125.194,8443,tls,xhttp,2.4907588958740234,0.0,FAILED,Latency test failed
1269,172.67.74.10,443,tls,ws,2.496957778930664,0.0,FAILED,Latency test failed
1270,188.114.97.6,2087,tls,xhttp,2.4979114532470703,0.0,FAILED,Latency test failed
1271,104.18.152.233,443,tls,ws,2.4995803833007812,0.0,FAILED,Latency test failed
1272,172.64.152.241,80,none,ws,2.500295639038086,0.0,FAILED,Latency test failed
